id_subsistema;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
NE;NORDESTE;2026-01-01 00:00:00;2958.865;575.87699999;10067.167;0.0;12887.229;714.68
N;NORTE;2026-01-01 00:00:00;11587.04599999;1866.713;263.019;0.0;7622.60599999;6094.172
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 00:00:00;53588.317;8109.024;10997.47;1.0;72695.81;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-01 00:00:00;27078.802;5521.02799999;204.086;0.0;41048.46;-8244.544
S;SUL;2026-01-01 00:00:00;11963.604;145.406;463.198;1.0;11137.516;1435.692
NE;NORDESTE;2026-01-01 01:00:00;2944.306;572.94499999;9848.825;0.0;13177.871;188.20499999
N;NORTE;2026-01-01 01:00:00;11922.26;1872.199;159.592;0.0;7707.001;6247.04999999
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 01:00:00;55010.484;8096.889;10539.571;1.0;73647.94;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-01 01:00:00;26620.173;5506.844;183.393;0.0;41202.382;-8891.972
S;SUL;2026-01-01 01:00:00;13523.74499999;144.901;347.761;1.0;11560.68999999;2456.717
NE;NORDESTE;2026-01-01 02:00:00;2838.603;549.039;9411.525;0.0;13388.638;-589.471
N;NORTE;2026-01-01 02:00:00;11387.669;1867.279;226.637;0.0;7797.503;5684.082
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 02:00:00;55453.856;8073.496;10120.208;1.0;73648.56;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-01 02:00:00;26515.89;5502.908;175.414;0.0;41135.284;-8941.072
S;SUL;2026-01-01 02:00:00;14711.694;154.27;306.632;1.0;11327.135;3846.461
NE;NORDESTE;2026-01-01 03:00:00;2935.422;543.12199999;8647.93199999;0.0;13485.516;-1359.04
N;NORTE;2026-01-01 03:00:00;9742.161;1847.26599999;265.79199999;0.0;7807.82199999;4047.397
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 03:00:00;55383.963;8052.552;9366.009;1.0;72803.52;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-01 03:00:00;27848.28799999;5502.182;159.273;0.0;40538.60999999;-7028.867
